"model","target_population","race_id","race","faction","class_id","class","playerbot_factory_allowed","current_stock","current_stored_add_rows","current_effective_active_events","current_online","target","add_deficit"
"equal_pair_comparison","500","8","Troll","Horde","5","Priest","1","8","0","0","0","10","2"
"equal_pair_comparison","500","8","Troll","Horde","7","Shaman","1","37","0","0","0","10","0"
"equal_pair_comparison","500","8","Troll","Horde","8","Mage","1","23","0","0","0","10","0"
"equal_pair_comparison","500","8","Troll","Horde","9","Warlock","0","0","0","0","0","0","0"
"equal_pair_comparison","500","9","Goblin","Horde","1","Warrior","1","181","3","0","0","10","0"
"equal_pair_comparison","500","9","Goblin","Horde","3","Hunter","1","177","3","0","0","10","0"
"equal_pair_comparison","500","9","Goblin","Horde","4","Rogue","1","182","1","0","0","10","0"
"equal_pair_comparison","500","9","Goblin","Horde","8","Mage","1","182","1","0","0","10","0"
"equal_pair_comparison","500","9","Goblin","Horde","9","Warlock","1","175","3","0","0","10","0"
"equal_pair_comparison","500","10","High Elf","Alliance","1","Warrior","1","196","0","0","0","9","0"
"equal_pair_comparison","500","10","High Elf","Alliance","2","Paladin","1","173","2","0","0","9","0"
"equal_pair_comparison","500","10","High Elf","Alliance","3","Hunter","1","182","1","0","0","9","0"
"equal_pair_comparison","500","10","High Elf","Alliance","4","Rogue","1","177","1","0","0","9","0"
"equal_pair_comparison","500","10","High Elf","Alliance","5","Priest","1","170","5","0","0","9","0"
"equal_pair_comparison","500","10","High Elf","Alliance","8","Mage","1","160","4","0","0","9","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","1","Warrior","1","86","1","0","0","6","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","2","Paladin","1","186","2","0","0","9","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","3","Hunter","1","172","1","0","0","6","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","4","Rogue","1","58","1","0","0","6","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","5","Priest","1","52","1","0","0","7","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","8","Mage","1","83","1","0","0","7","0"
"class_rarity_race_faction_balanced","500","1","Human","Alliance","9","Warlock","1","62","1","0","0","9","0"
"class_rarity_race_faction_balanced","500","2","Orc","Horde","1","Warrior","1","61","0","0","0","9","0"
"class_rarity_race_faction_balanced","500","2","Orc","Horde","3","Hunter","1","71","3","0","0","10","0"
"class_rarity_race_faction_balanced","500","2","Orc","Horde","4","Rogue","1","11","0","0","0","9","0"
"class_rarity_race_faction_balanced","500","2","Orc","Horde","7","Shaman","1","39","1","0","0","11","0"
"class_rarity_race_faction_balanced","500","2","Orc","Horde","8","Mage","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","2","Orc","Horde","9","Warlock","1","20","0","0","0","11","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","1","Warrior","1","38","1","0","0","10","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","2","Paladin","1","65","1","0","0","11","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","3","Hunter","1","97","1","0","0","11","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","4","Rogue","1","13","0","0","0","8","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","5","Priest","1","26","1","0","0","10","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","8","Mage","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","3","Dwarf","Alliance","9","Warlock","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","4","Night Elf","Alliance","1","Warrior","1","58","1","0","0","3","0"
"class_rarity_race_faction_balanced","500","4","Night Elf","Alliance","3","Hunter","1","184","2","0","0","6","0"
"class_rarity_race_faction_balanced","500","4","Night Elf","Alliance","4","Rogue","1","126","0","0","0","4","0"
"class_rarity_race_faction_balanced","500","4","Night Elf","Alliance","5","Priest","1","45","0","0","0","6","0"
"class_rarity_race_faction_balanced","500","4","Night Elf","Alliance","11","Druid","1","146","3","0","0","31","0"
"class_rarity_race_faction_balanced","500","5","Undead","Horde","1","Warrior","1","25","0","0","0","5","0"
"class_rarity_race_faction_balanced","500","5","Undead","Horde","3","Hunter","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","5","Undead","Horde","4","Rogue","1","74","0","0","0","8","0"
"class_rarity_race_faction_balanced","500","5","Undead","Horde","5","Priest","1","61","1","0","0","16","0"
"class_rarity_race_faction_balanced","500","5","Undead","Horde","8","Mage","1","62","4","0","0","11","0"
"class_rarity_race_faction_balanced","500","5","Undead","Horde","9","Warlock","1","88","0","0","0","10","0"
"class_rarity_race_faction_balanced","500","6","Tauren","Horde","1","Warrior","1","50","0","0","0","4","0"
"class_rarity_race_faction_balanced","500","6","Tauren","Horde","3","Hunter","1","35","1","0","0","5","0"
"class_rarity_race_faction_balanced","500","6","Tauren","Horde","5","Priest","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","6","Tauren","Horde","7","Shaman","1","79","0","0","0","10","0"
"class_rarity_race_faction_balanced","500","6","Tauren","Horde","11","Druid","1","51","0","0","0","31","0"
"class_rarity_race_faction_balanced","500","7","Gnome","Alliance","1","Warrior","1","14","0","0","0","7","0"
"class_rarity_race_faction_balanced","500","7","Gnome","Alliance","3","Hunter","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","7","Gnome","Alliance","4","Rogue","1","33","0","0","0","7","0"
"class_rarity_race_faction_balanced","500","7","Gnome","Alliance","8","Mage","1","64","0","0","0","14","0"
"class_rarity_race_faction_balanced","500","7","Gnome","Alliance","9","Warlock","1","48","0","0","0","22","0"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","1","Warrior","1","10","0","0","0","4","0"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","3","Hunter","1","41","1","0","0","6","0"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","4","Rogue","1","43","0","0","0","6","0"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","5","Priest","1","8","0","0","0","15","7"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","7","Shaman","1","37","0","0","0","10","0"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","8","Mage","1","23","0","0","0","9","0"
"class_rarity_race_faction_balanced","500","8","Troll","Horde","9","Warlock","0","0","0","0","0","0","0"
"class_rarity_race_faction_balanced","500","9","Goblin","Horde","1","Warrior","1","181","3","0","0","10","0"
"class_rarity_race_faction_balanced","500","9","Goblin","Horde","3","Hunter","1","177","3","0","0","10","0"
"class_rarity_race_faction_balanced","500","9","Goblin","Horde","4","Rogue","1","182","1","0","0","9","0"
"class_rarity_race_faction_balanced","500","9","Goblin","Horde","8","Mage","1","182","1","0","0","11","0"
"class_rarity_race_faction_balanced","500","9","Goblin","Horde","9","Warlock","1","175","3","0","0","10","0"
"class_rarity_race_faction_balanced","500","10","High Elf","Alliance","1","Warrior","1","196","0","0","0","6","0"
"class_rarity_race_faction_balanced","500","10","High Elf","Alliance","2","Paladin","1","173","2","0","0","11","0"
"class_rarity_race_faction_balanced","500","10","High Elf","Alliance","3","Hunter","1","182","1","0","0","8","0"
"class_rarity_race_faction_balanced","500","10","High Elf","Alliance","4","Rogue","1","177","1","0","0","7","0"
"class_rarity_race_faction_balanced","500","10","High Elf","Alliance","5","Priest","1","170","5","0","0","8","0"
"class_rarity_race_faction_balanced","500","10","High Elf","Alliance","8","Mage","1","160","4","0","0","10","0"
