character_guid	character_name	account_id	account_name	level	class_id	race_id	character_online	character_last_logout_utc	account_last_login	group_count	group_ids	rndbot_stock	character_active	character_deleted	account_online	account_active	account_locked	account_banned_flag	banned_now	session_status	all_add_rows	active_add_rows	base_eligible	selection_status	eligible
24655	Rhyrynn	419	RNDBOT249	1	11	4	0	2026-08-30 21:03:18	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24708	Heleneya	336	RNDBOT255	3	2	10	0	2026-08-30 21:02:43	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24709	Junva	336	RNDBOT255	4	3	3	0	2026-08-30 21:03:10	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24833	Selodren	483	RNDBOT269	2	1	4	0	2026-08-30 21:02:44	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24838	Lethanno	483	RNDBOT269	5	4	9	0	2026-08-30 21:02:57	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24839	Sinderion	483	RNDBOT269	2	5	10	0	2026-08-30 21:02:24	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24914	Sterrick	342	RNDBOT278	5	3	9	0	2026-08-30 21:03:00	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24919	Elaei	342	RNDBOT278	3	11	4	0	2026-08-30 21:03:08	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24968	Verielah	183	RNDBOT285	1	5	1	0	2026-08-29 00:14:55	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24971	Dithizz	183	RNDBOT285	1	9	7	0	2026-08-29 00:14:35	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24999	Amilda	424	RNDBOT288	5	3	9	0	2026-08-30 21:02:57	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
25001	Vizdea	424	RNDBOT288	3	3	8	0	2026-08-30 21:03:10	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
25003	Thadaen	424	RNDBOT288	3	11	4	0	2026-08-30 21:02:34	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
25265	Berlo	201	RNDBOT318	5	8	5	0	2026-08-30 21:03:10	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
25266	Ilianna	201	RNDBOT318	6	9	9	0	2026-08-30 21:02:43	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
25270	Sanath	201	RNDBOT318	2	11	4	0	2026-08-30 21:02:25	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
26633	Kallistacy	317	RNDBOT471	1	8	9	0	2026-08-29 00:14:39	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
26634	Genevere	317	RNDBOT471	1	4	1	0	2026-08-29 00:14:58	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
26670	Lelane	492	RNDBOT475	3	5	4	0	2026-08-30 21:02:40	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
26674	Gistina	492	RNDBOT475	3	1	5	0	2026-08-30 21:03:15	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
26697	Nileah	321	RNDBOT478	1	8	5	0	2026-08-30 21:02:58	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
