ordinal,guid,account,name,race,class,gender,talent_path,role,profession_pair,selection_reason,source_candidate_hash
77,152,13,Thylaenea,4,1,1,protection,TANK,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
78,28,6,Agle,3,3,1,beastmastery,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
79,227,487,Karm,2,4,0,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
80,95,94,Sevan,5,5,0,shadow,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
81,14,30,Hugiqime,6,11,0,balance,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
82,352,25,Tulfigs,3,1,0,arms,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
83,54,7,Ekrann,8,3,1,marksmanship,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
84,3,4,Girio,1,4,0,assassination,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
85,58,282,Zorurdi,2,7,1,enhancement,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
86,10,30,Beneland,5,8,0,fire,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
87,9,4,Arander,10,5,0,discipline,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
88,1,4,Geny,9,1,1,fury,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
89,46,7,Kerania,1,2,1,holy,HEALER,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
90,125,114,Wistera,1,9,1,affliction,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
91,68,8,Arango,10,3,0,survival,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
92,4,4,Inder,5,4,0,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
93,37,47,Altaluna,10,1,1,protection,TANK,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
94,128,12,Dannas,4,5,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
95,301,22,Irkaacawhup,6,7,0,elemental,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
96,84,299,Orestin,9,3,0,beastmastery,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
97,44,47,Ronno,8,4,1,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
98,71,8,Deliott,9,8,0,frost,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
99,77,292,Norma,6,1,1,arms,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
100,129,12,Relavanna,4,11,1,feral,TANK,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
101,108,405,Deygo,3,2,1,protection,TANK,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
102,141,132,Omkitin,7,9,0,demonology,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
103,126,114,Kojo,6,3,0,marksmanship,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
104,56,282,Ewalvin,10,4,0,assassination,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
105,138,132,Stalen,5,5,0,shadow,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
106,81,292,Danklumash,7,1,0,fury,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
107,848,56,Granzelku,2,7,1,restoration,HEALER,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
108,106,405,Galoreno,1,8,0,arcane,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
109,166,14,Konso,1,3,0,survival,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
110,118,114,Chilipe,9,4,1,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
111,600,40,Valekaz,8,5,0,discipline,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
112,183,15,Alvin,5,1,0,protection,TANK,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
113,51,7,Carler,10,2,0,retribution,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
114,16,30,Tanelor,4,3,0,beastmastery,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
115,328,387,Hjirogg,3,4,0,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
116,601,40,Gregu,2,9,0,destruction,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
117,310,266,Ereron,4,1,0,arms,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
118,11,30,Peterent,10,5,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
119,1000,450,Sezukuh,8,7,1,enhancement,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
120,488,33,Tundazieth,8,8,1,fire,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
121,8,4,Lineriela,9,3,1,marksmanship,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
122,496,447,Thalbizz,7,4,1,assassination,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
123,533,390,Zolando,1,1,0,fury,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
124,136,132,Cushah,6,11,1,restoration,HEALER,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
125,478,271,Aslan,1,5,0,shadow,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
126,19,273,Aleria,10,3,1,survival,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
127,720,48,Ohmi,2,4,1,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
128,880,283,Lyllenglun,3,1,1,protection,TANK,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
129,113,11,Dernouggs,3,2,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
130,65,8,Talaster,9,9,0,affliction,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
131,339,24,Qojet,6,7,0,elemental,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
132,24,273,Calena,9,8,1,frost,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
133,88,299,Becalea,4,5,1,discipline,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
134,32,6,Hakinn,3,3,0,beastmastery,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
135,178,166,Curmir,2,1,0,arms,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
136,13,30,Haronal,9,4,0,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
