namespace	numeric_id	normalized_key	local_name	category	authoritative_path	source_reference
observed_skill	44	axes	Axes	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	45	bows	Bows	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	46	guns	Guns	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	51	survival	Survival	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	54	maces	Maces	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	55	two_handed_swords	Two-Handed Swords	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	56	holy	Holy	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	95	defense	Defense	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	98	language_common	Language: Common	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	101	dwarven_racial	Dwarven Racial	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	109	language_orcish	Language: Orcish	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	111	language_dwarven	Language: Dwarven	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	113	language_darnassian	Language: Darnassian	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	115	language_taurahe	Language: Taurahe	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	124	tauren_racial	Tauren Racial	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	125	orc_racial	Orc Racial	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	126	night_elf_racial	Night Elf Racial	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	136	staves	Staves	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	137	language_thalassian	Language: Thalassian	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	160	two_handed_maces	Two-Handed Maces	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	162	unarmed	Unarmed	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	163	marksmanship	Marksmanship	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	172	two_handed_axes	Two-Handed Axes	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	173	daggers	Daggers	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	176	thrown	Thrown	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	183	generic_dnd	GENERIC (DND)	generic	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	220	racial_undead	Racial - Undead	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	228	wands	Wands	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	253	assassination	Assassination	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	267	protection	Protection	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	313	language_gnomish	Language: Gnomish	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	315	language_troll	Language: Troll	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	354	demonology	Demonology	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	374	restoration	Restoration	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	375	elemental_combat	Elemental Combat	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	413	mail	Mail	armor	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	414	leather	Leather	armor	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	415	cloth	Cloth	armor	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	433	shield	Shield	armor	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	573	restoration	Restoration	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	574	balance	Balance	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	593	destruction	Destruction	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	594	holy	Holy	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	673	language_gutterspeak	Language: Gutterspeak	language	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	733	racial_troll	Racial - Troll	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	753	racial_gnome	Racial - Gnome	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	754	racial_human	Racial - Human	secondary	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
