population_key	race_id	race_key	class_id	class_key	bot_count	live_playercreateinfo_defined	local_custom_evidence
inactive_random_reserve	3	dwarf	5	priest	11	True	
inactive_random_reserve	4	night_elf	1	warrior	49	True	
inactive_random_reserve	4	night_elf	3	hunter	174	True	
inactive_random_reserve	4	night_elf	4	rogue	98	True	
inactive_random_reserve	4	night_elf	5	priest	47	True	
inactive_random_reserve	4	night_elf	11	druid	121	True	
inactive_random_reserve	5	undead	1	warrior	35	True	
inactive_random_reserve	5	undead	4	rogue	75	True	
inactive_random_reserve	5	undead	5	priest	42	True	
inactive_random_reserve	5	undead	8	mage	68	True	
inactive_random_reserve	5	undead	9	warlock	66	True	
inactive_random_reserve	6	tauren	1	warrior	42	True	
inactive_random_reserve	6	tauren	3	hunter	34	True	
inactive_random_reserve	6	tauren	7	shaman	68	True	
inactive_random_reserve	6	tauren	11	druid	51	True	
inactive_random_reserve	7	gnome	1	warrior	8	True	
inactive_random_reserve	7	gnome	4	rogue	29	True	
inactive_random_reserve	7	gnome	8	mage	49	True	
inactive_random_reserve	7	gnome	9	warlock	46	True	
inactive_random_reserve	8	troll	1	warrior	13	True	
inactive_random_reserve	8	troll	3	hunter	34	True	
inactive_random_reserve	8	troll	4	rogue	55	True	
inactive_random_reserve	8	troll	5	priest	17	True	
inactive_random_reserve	8	troll	7	shaman	47	True	
inactive_random_reserve	8	troll	8	mage	14	True	
inactive_random_reserve	9	goblin	1	warrior	191	True	Turtle-WoW custom race
inactive_random_reserve	9	goblin	3	hunter	166	True	Turtle-WoW custom race
inactive_random_reserve	9	goblin	4	rogue	167	True	Turtle-WoW custom race
inactive_random_reserve	9	goblin	8	mage	202	True	Turtle-WoW custom race
inactive_random_reserve	9	goblin	9	warlock	185	True	Turtle-WoW custom race
inactive_random_reserve	10	high_elf	1	warrior	175	True	Turtle-WoW custom race
inactive_random_reserve	10	high_elf	2	paladin	180	True	Turtle-WoW custom race
inactive_random_reserve	10	high_elf	3	hunter	152	True	Turtle-WoW custom race
inactive_random_reserve	10	high_elf	4	rogue	203	True	Turtle-WoW custom race
inactive_random_reserve	10	high_elf	5	priest	168	True	Turtle-WoW custom race
inactive_random_reserve	10	high_elf	8	mage	183	True	Turtle-WoW custom race
