"skill_id","skill_name_en","skill_name_de","classification","learning_spell_id","learning_spell_name_en","rank_step","rank_name","spell_level","base_level","trainer_reqlevel_min","trainer_reqlevel_max","trainer_reqskill_min","trainer_reqskill_max","trainer_reqskillvalue_min","trainer_reqskillvalue_max","trainer_cost_min_copper","trainer_cost_max_copper","trainer_offer_count","trainer_sources"
"333","Enchanting","Verzauberkunst","PRIMARY","7414","Apprentice Enchanting","1","Apprentice","0","0","0","0","0","0","0","0","10","10","20","npc_trainer"
"333","Enchanting","Verzauberkunst","PRIMARY","7415","Journeyman Enchanting","2","Journeyman","0","0","0","0","333","333","50","50","500","500","13","npc_trainer"
"333","Enchanting","Verzauberkunst","PRIMARY","7416","Expert Enchanting","3","Expert","0","0","0","0","333","333","125","125","5000","5000","4","npc_trainer"
"333","Enchanting","Verzauberkunst","PRIMARY","13921","Artisan Enchanting","4","Artisan","0","0","0","0","333","333","200","200","50000","50000","2","npc_trainer"
"356","Fishing","Angeln","SECONDARY","7733","Apprentice Fishing","1","Apprentice","0","0","1","5","0","0","0","0","100","100","30","npc_trainer"
"356","Fishing","Angeln","SECONDARY","7734","Journeyman Fishing","2","Journeyman","0","0","1","1","356","356","50","50","500","500","28","npc_trainer"
"356","Fishing","Angeln","SECONDARY","7736","Expert Fishing","3","Expert","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"356","Fishing","Angeln","SECONDARY","19889","Expert Fishing","3","Expert","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"356","Fishing","Angeln","SECONDARY","18249","Artisan Fishing","4","Artisan","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"356","Fishing","Angeln","SECONDARY","19890","Artisan Fishing","4","Artisan","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"393","Skinning","Kürschnerei","PRIMARY","8615","Apprentice Skinning","1","Apprentice","0","0","0","0","0","0","0","0","10","10","16","npc_trainer"
"393","Skinning","Kürschnerei","PRIMARY","8619","Journeyman Skinning","2","Journeyman","0","0","0","0","393","393","50","50","500","500","16","npc_trainer"
"393","Skinning","Kürschnerei","PRIMARY","8620","Expert Skinning","3","Expert","0","0","0","0","393","393","125","125","5000","5000","16","npc_trainer"
"393","Skinning","Kürschnerei","PRIMARY","10769","Artisan Skinning","4","Artisan","0","0","0","0","393","393","200","200","50000","50000","16","npc_trainer"
"755","Jewelcrafting","Juwelenschleifen","PRIMARY","30219","Apprentice Jewelcrafter","1","Apprentice","0","0","0","5","0","0","0","0","10","10","5","npc_trainer;npc_trainer_template"
"755","Jewelcrafting","Juwelenschleifen","PRIMARY","30223","Journeyman Jewelcrafter","2","Journeyman","0","0","0","10","755","755","50","50","450","450","4","npc_trainer;npc_trainer_template"
"755","Jewelcrafting","Juwelenschleifen","PRIMARY","30225","Expert Jewelcrafter","3","Expert","0","0","0","20","755","755","125","125","4500","4500","3","npc_trainer;npc_trainer_template"
"755","Jewelcrafting","Juwelenschleifen","PRIMARY","30227","Artisan Jewelcrafter","4","Artisan","0","0","0","35","755","755","200","200","50000","50000","2","npc_trainer;npc_trainer_template"
