"account_type","guid","race","class","level","primary_profession_count","primary_professions","secondary_profession_count","secondary_professions","riding_skill"
"RNDBOT","22492","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22493","6","7","6","0","NULL","0","NULL","NULL"
"RNDBOT","22494","8","4","6","0","NULL","0","NULL","NULL"
"RNDBOT","22495","9","9","6","0","NULL","0","NULL","NULL"
"RNDBOT","22496","9","9","6","0","NULL","0","NULL","NULL"
"RNDBOT","22497","9","1","6","0","NULL","0","NULL","NULL"
"RNDBOT","22498","9","1","6","0","NULL","0","NULL","NULL"
"RNDBOT","22499","4","3","6","0","NULL","0","NULL","NULL"
"RNDBOT","22500","4","11","4","0","NULL","0","NULL","NULL"
"RNDBOT","22501","10","1","6","0","NULL","0","NULL","NULL"
"RNDBOT","22502","2","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22503","8","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22504","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22505","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22506","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22507","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22508","1","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22509","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22510","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22511","3","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22512","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22513","1","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22514","5","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22515","3","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22516","1","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22517","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22518","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22519","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22520","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22521","2","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22522","5","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22523","4","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22524","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22525","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22526","8","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22527","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22528","8","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22529","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22530","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22531","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22532","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22533","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22534","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22535","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22536","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22537","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22538","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22539","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22540","1","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22541","2","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22542","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22543","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22544","7","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22545","8","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22546","7","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22547","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22548","8","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22549","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22550","1","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22551","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22552","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22553","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22554","2","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22555","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22556","7","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22557","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22558","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22559","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22560","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22561","5","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22562","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22563","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22564","2","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22565","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22566","8","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22567","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22568","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22569","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22570","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22571","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22572","1","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22573","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22574","1","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22575","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22576","6","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22577","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22578","1","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22579","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22580","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22581","2","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22582","3","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22583","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22584","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22585","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22586","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22587","5","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22588","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22589","5","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22590","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22591","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22592","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22593","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22594","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22595","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22596","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22597","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22598","7","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22599","8","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22600","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22601","1","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22602","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22603","5","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22604","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22605","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22606","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22607","6","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22608","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22609","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22610","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22611","5","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22612","3","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22613","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22614","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22615","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22616","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22617","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22618","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22619","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22620","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22621","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22622","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22623","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22624","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22625","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22626","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22627","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22628","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22629","5","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22630","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22631","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22632","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22633","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22634","6","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22635","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22636","1","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22637","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22638","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22639","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22640","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22641","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22642","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22643","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22644","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22645","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22646","8","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22647","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22648","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22649","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22650","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22651","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22652","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22653","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22654","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22655","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22656","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22657","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22658","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22659","1","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22660","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22661","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22662","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22663","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22664","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22665","4","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22666","5","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22667","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22668","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22669","5","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22670","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22671","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22672","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22673","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22674","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22675","8","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22676","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22677","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22678","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22679","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22680","6","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22681","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22682","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22683","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22684","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22685","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22686","2","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22687","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22688","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22689","5","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22690","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22691","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22692","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22693","2","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22694","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22695","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22696","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22697","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22698","8","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22699","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22700","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22701","1","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22702","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22703","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22704","6","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22705","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22706","3","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22707","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22708","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22709","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22710","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22711","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22712","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22713","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22714","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22715","4","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22716","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22717","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22718","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22719","2","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22720","4","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22721","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22722","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22723","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22724","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22725","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22726","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22727","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22728","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22729","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22730","2","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22731","1","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22732","1","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22733","6","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22734","7","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22735","7","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22736","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22737","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22738","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22739","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22740","2","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22741","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22742","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22743","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22744","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22745","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22746","4","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22747","7","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22748","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22749","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22750","7","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22751","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22752","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22753","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22754","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22755","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22756","6","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22757","6","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22758","5","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22759","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22760","1","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22761","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22762","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22763","1","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22764","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22765","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22766","7","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22767","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22768","1","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22769","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22770","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22771","3","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22772","5","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22773","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22774","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22775","6","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22776","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22777","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22778","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22779","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22780","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22781","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22782","3","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22783","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22784","1","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22785","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22786","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22787","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22788","3","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22789","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22790","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22791","6","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22792","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22793","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22794","8","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22795","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22796","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22797","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22798","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22799","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22800","1","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22801","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22802","8","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22803","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22804","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22805","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22806","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22807","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22808","1","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22809","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22810","5","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22811","1","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22812","7","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22813","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22814","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22815","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22816","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22817","8","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22818","3","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22819","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22820","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22821","5","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22822","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22823","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22824","7","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22825","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22826","4","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22827","7","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22828","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22829","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22830","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22831","2","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22832","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22833","1","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22834","4","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22835","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22836","5","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22837","1","3","1","0","NULL","0","NULL","NULL"
