ordinal,guid,account,name,race,class,gender,talent_path,role,profession_pair,selection_reason,source_candidate_hash
25,2534,152,Chellan,6,3,1,survival,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
26,2543,461,Jegrormond,3,3,0,beastmastery,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
27,2573,154,Ijon,8,5,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
28,2661,159,Kanlu,3,2,1,holy,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
29,2770,165,Yelora,4,5,1,shadow,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
30,2935,175,Shosetim,2,3,1,marksmanship,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
31,4002,372,Inojo,8,8,0,fire,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
32,3125,347,Gros,2,4,0,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
33,3168,348,Trajin,8,4,0,subtlety,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
34,3285,429,Etdo,2,9,1,destruction,DPS,Mining/Jewelcrafting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
35,3514,358,Khomul,3,4,0,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
36,3572,211,Eloreni,5,8,1,frost,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
37,3700,435,Hodelin,10,2,0,protection,TANK,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
38,3725,364,Camer,1,9,0,affliction,DPS,Mining/Jewelcrafting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
39,3743,495,Anarianna,4,4,1,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
40,3959,233,Ubochmee,6,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
41,3970,234,Gerolanton,1,3,0,survival,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
42,4068,239,Gwendolyn,1,2,1,retribution,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
43,4136,244,Kinlania,4,3,1,beastmastery,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
44,4140,244,Rollotheo,10,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
45,4163,488,Irlyia,4,11,1,bear,TANK,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
46,4253,379,Thorkogar,2,7,0,elemental,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
47,4364,382,Twynrosen,3,5,1,discipline,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
48,4375,474,Orrathugg,3,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
49,4439,445,Hanta,10,3,1,marksmanship,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
50,4478,489,Seliano,5,9,0,demonology,DPS,Mining/Jewelcrafting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
51,6,4,Shanie,10,2,1,holy,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
52,7,4,Alerielah,10,4,1,subtlety,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
53,18,30,Alenon,4,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
54,23,273,Dedas,4,4,0,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
55,27,273,Nilenata,10,5,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
56,34,6,Nelline,1,5,1,shadow,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
57,38,47,Figdredi,2,1,1,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
58,57,282,Kramdahmak,3,2,0,protection,TANK,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
59,92,94,Trialania,4,3,1,survival,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
60,98,94,Mudso,6,7,1,restoration,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
61,117,11,Briluknald,2,1,0,arms,DPS,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
62,119,114,Thrigmor,2,7,0,enhancement,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
63,148,13,Rhazkoz,8,7,0,elemental,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
64,151,13,Emaleath,4,11,0,bear,TANK,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
65,153,13,Teryl,1,4,1,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
66,175,166,Griram,2,3,1,beastmastery,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
67,291,446,Zavga,2,3,0,marksmanship,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
68,449,270,Thortin,1,5,0,discipline,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
69,52,7,Rinne,1,1,1,fury,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
70,26,273,Artemis,1,3,1,survival,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
71,204,16,Ratass,3,4,1,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
72,31,6,Kelrus,4,5,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
73,5,4,Wagismi,6,7,0,restoration,HEALER,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
74,2,4,Gikiz,7,8,1,arcane,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
75,206,16,Oresto,1,2,0,retribution,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
76,41,47,Kaille,5,9,1,destruction,DPS,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
77,152,13,Thylaenea,4,1,1,protection,TANK,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
78,28,6,Agle,3,3,1,beastmastery,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
79,227,487,Karm,2,4,0,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
80,95,94,Sevan,5,5,0,shadow,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
81,14,30,Hugiqime,6,11,0,bear,TANK,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
82,352,25,Tulfigs,3,1,0,arms,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
83,54,7,Ekrann,8,3,1,marksmanship,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
84,3,4,Girio,1,4,0,assassination,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
85,58,282,Zorurdi,2,7,1,enhancement,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
86,10,30,Beneland,5,8,0,fire,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
87,9,4,Arander,10,5,0,discipline,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
88,1,4,Geny,9,1,1,fury,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
89,46,7,Kerania,1,2,1,holy,HEALER,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
90,125,114,Wistera,1,9,1,affliction,DPS,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
91,68,8,Arango,10,3,0,survival,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
92,4,4,Inder,5,4,0,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
93,37,47,Altaluna,10,1,1,protection,TANK,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
94,128,12,Dannas,4,5,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
95,301,22,Irkaacawhup,6,7,0,elemental,DPS,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
96,84,299,Orestin,9,3,0,beastmastery,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
97,44,47,Ronno,8,4,1,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
98,71,8,Deliott,9,8,0,frost,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
99,77,292,Norma,6,1,1,arms,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
100,129,12,Relavanna,4,11,1,bear,TANK,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
101,108,405,Deygo,3,2,1,protection,TANK,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
102,141,132,Omkitin,7,9,0,demonology,DPS,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
103,126,114,Kojo,6,3,0,marksmanship,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
104,56,282,Ewalvin,10,4,0,assassination,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
105,138,132,Stalen,5,5,0,shadow,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
106,81,292,Danklumash,7,1,0,fury,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
107,848,56,Granzelku,2,7,1,restoration,HEALER,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
108,106,405,Galoreno,1,8,0,arcane,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
109,166,14,Konso,1,3,0,survival,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
110,118,114,Chilipe,9,4,1,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
111,600,40,Valekaz,8,5,0,discipline,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
112,183,15,Alvin,5,1,0,protection,TANK,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
113,51,7,Carler,10,2,0,retribution,DPS,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
114,16,30,Tanelor,4,3,0,beastmastery,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
115,328,387,Hjirogg,3,4,0,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
116,601,40,Gregu,2,9,0,destruction,DPS,Herbalism/Mining,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
117,310,266,Ereron,4,1,0,arms,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
118,11,30,Peterent,10,5,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
119,1000,450,Sezukuh,8,7,1,enhancement,DPS,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
120,488,33,Tundazieth,8,8,1,fire,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
121,8,4,Lineriela,9,3,1,marksmanship,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
122,496,447,Thalbizz,7,4,1,assassination,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
123,533,390,Zolando,1,1,0,fury,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
124,136,132,Cushah,6,11,1,bear,TANK,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
125,478,271,Aslan,1,5,0,shadow,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
126,19,273,Aleria,10,3,1,survival,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
127,720,48,Ohmi,2,4,1,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
128,880,283,Lyllenglun,3,1,1,protection,TANK,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
129,113,11,Dernouggs,3,2,0,holy,HEALER,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
130,65,8,Talaster,9,9,0,affliction,DPS,Herbalism/Mining,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
131,339,24,Qojet,6,7,0,elemental,DPS,Mining/Jewelcrafting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
132,24,273,Calena,9,8,1,frost,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
133,88,299,Becalea,4,5,1,discipline,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
134,32,6,Hakinn,3,3,0,beastmastery,DPS,Mining/Engineering,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
135,178,166,Curmir,2,1,0,arms,DPS,Mining/Blacksmithing,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
136,13,30,Haronal,9,4,0,combat,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
137,15,30,Heriannah,9,1,1,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
138,21,273,Altali,10,2,1,protection,TANK,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
139,30,6,Esterva,9,3,1,survival,DPS,Mining/Engineering,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
140,29,6,Gaerol,4,4,0,subtlety,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
141,89,299,Yehmo,8,5,1,discipline,HEALER,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
142,379,268,Flobivee,6,7,1,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
143,12,30,Joboz,8,8,0,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
144,17,30,Nero,5,9,0,affliction,DPS,Herbalism/Mining,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
145,167,14,Nukkeh,6,11,1,bear,TANK,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
146,161,148,Fesodu,2,1,1,protection,TANK,Mining/Blacksmithing,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
147,111,11,Junmin,3,2,1,protection,TANK,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
148,39,47,Delyn,1,3,1,beastmastery,DPS,Mining/Engineering,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
149,40,47,Hammondor,5,4,0,assassination,DPS,Skinning/Leatherworking,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
150,156,148,Kinariane,5,5,1,discipline,HEALER,Herbalism/Alchemy,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
151,381,268,Depu,6,7,0,restoration,HEALER,Mining/Jewelcrafting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
152,25,273,Jiklinklen,7,8,1,arcane,DPS,Tailoring/Enchanting,"v4_272_v2; owner #366 part 3; quota faction/class/path by (level,guid)",8EB3F99417F7A7E12A8D8845270F6EF38A97B24304039B2BF2639D34104E8183
