ordinal,guid,name,race,class,old_path,new_path,old_role,new_role,old_pair,new_pair,respec,profession_change
61,117,Briluknald,2,1,arms,arms,DPS,DPS,Skinning/Leatherworking,Mining/Blacksmithing,0,1
62,119,Thrigmor,2,7,enhancement,restoration,DPS,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,1,0
63,148,Rhazkoz,8,7,elemental,restoration,DPS,HEALER,Skinning/Leatherworking,Herbalism/Alchemy,1,1
64,151,Emaleath,4,11,restoration,bear,HEALER,TANK,Herbalism/Alchemy,Herbalism/Alchemy,1,0
65,153,Teryl,1,4,assassination,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
66,175,Griram,2,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
67,291,Zavga,2,3,marksmanship,marksmanship,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
68,449,Thortin,1,5,discipline,discipline,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
69,52,Rinne,1,1,fury,fury,DPS,DPS,Skinning/Leatherworking,Mining/Blacksmithing,0,1
70,26,Artemis,1,3,survival,survival,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
71,204,Ratass,3,4,subtlety,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
72,31,Kelrus,4,5,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
73,5,Wagismi,6,7,restoration,restoration,HEALER,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,0,0
74,2,Gikiz,7,8,arcane,arcane,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
75,206,Oresto,1,2,retribution,retribution,DPS,DPS,Tailoring/Enchanting,Herbalism/Alchemy,0,1
76,41,Kaille,5,9,destruction,destruction,DPS,DPS,Tailoring/Enchanting,Mining/Jewelcrafting,0,1
77,152,Thylaenea,4,1,protection,arms,TANK,DPS,Herbalism/Alchemy,Mining/Blacksmithing,1,1
78,28,Agle,3,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
79,227,Karm,2,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
80,95,Sevan,5,5,shadow,discipline,DPS,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,1,0
81,14,Hugiqime,6,11,balance,restoration,DPS,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,1,0
82,352,Tulfigs,3,1,arms,arms,DPS,DPS,Skinning/Leatherworking,Mining/Blacksmithing,0,1
83,54,Ekrann,8,3,marksmanship,beastmastery,DPS,DPS,Skinning/Leatherworking,Mining/Jewelcrafting,1,1
84,3,Girio,1,4,assassination,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
85,58,Zorurdi,2,7,enhancement,restoration,DPS,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,1,0
86,10,Beneland,5,8,fire,fire,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
87,9,Arander,10,5,discipline,discipline,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
88,1,Geny,9,1,fury,fury,DPS,DPS,Skinning/Leatherworking,Mining/Blacksmithing,0,1
89,46,Kerania,1,2,holy,holy,HEALER,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,0,0
90,125,Wistera,1,9,affliction,affliction,DPS,DPS,Tailoring/Enchanting,Herbalism/Mining,0,1
91,68,Arango,10,3,survival,survival,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,0,1
92,4,Inder,5,4,subtlety,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
93,37,Altaluna,10,1,protection,arms,TANK,DPS,Herbalism/Alchemy,Mining/Blacksmithing,1,1
94,128,Dannas,4,5,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
95,301,Irkaacawhup,6,7,elemental,restoration,DPS,HEALER,Herbalism/Alchemy,Mining/Jewelcrafting,1,1
96,84,Orestin,9,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,0,1
97,44,Ronno,8,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
98,71,Deliott,9,8,frost,frost,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
99,77,Norma,6,1,arms,arms,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,0,1
100,129,Relavanna,4,11,feral,restoration,TANK,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,1,0
101,108,Deygo,3,2,protection,protection,TANK,TANK,Tailoring/Enchanting,Herbalism/Alchemy,0,1
102,141,Omkitin,7,9,demonology,destruction,DPS,DPS,Tailoring/Enchanting,Herbalism/Mining,1,1
103,126,Kojo,6,3,marksmanship,survival,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,1,1
104,56,Ewalvin,10,4,assassination,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,1,0
105,138,Stalen,5,5,shadow,holy,DPS,HEALER,Tailoring/Enchanting,Herbalism/Alchemy,1,1
106,81,Danklumash,7,1,fury,fury,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,0,1
107,848,Granzelku,2,7,restoration,restoration,HEALER,HEALER,Herbalism/Alchemy,Mining/Jewelcrafting,0,1
108,106,Galoreno,1,8,arcane,fire,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,1,0
109,166,Konso,1,3,survival,marksmanship,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,1,1
110,118,Chilipe,9,4,subtlety,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,1,0
111,600,Valekaz,8,5,discipline,discipline,HEALER,HEALER,Tailoring/Enchanting,Herbalism/Alchemy,0,1
112,183,Alvin,5,1,protection,protection,TANK,TANK,Skinning/Leatherworking,Herbalism/Mining,0,1
113,51,Carler,10,2,retribution,holy,DPS,HEALER,Tailoring/Enchanting,Herbalism/Alchemy,1,1
114,16,Tanelor,4,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,0,1
115,328,Hjirogg,3,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
116,601,Gregu,2,9,destruction,demonology,DPS,DPS,Tailoring/Enchanting,Herbalism/Mining,1,1
117,310,Ereron,4,1,arms,arms,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,0,1
118,11,Peterent,10,5,holy,shadow,HEALER,DPS,Tailoring/Enchanting,Herbalism/Alchemy,1,1
119,1000,Sezukuh,8,7,enhancement,restoration,DPS,HEALER,Herbalism/Alchemy,Mining/Jewelcrafting,1,1
120,488,Tundazieth,8,8,fire,arcane,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,1,0
121,8,Lineriela,9,3,marksmanship,survival,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,1,1
122,496,Thalbizz,7,4,assassination,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,1,0
123,533,Zolando,1,1,fury,fury,DPS,DPS,Herbalism/Alchemy,Herbalism/Mining,0,1
124,136,Cushah,6,11,restoration,bear,HEALER,TANK,Skinning/Leatherworking,Herbalism/Alchemy,1,1
125,478,Aslan,1,5,shadow,shadow,DPS,DPS,Tailoring/Enchanting,Herbalism/Alchemy,0,1
126,19,Aleria,10,3,survival,marksmanship,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,1,1
127,720,Ohmi,2,4,subtlety,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,1,0
128,880,Lyllenglun,3,1,protection,fury,TANK,DPS,Herbalism/Alchemy,Herbalism/Mining,1,1
129,113,Dernouggs,3,2,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Herbalism/Alchemy,0,1
130,65,Talaster,9,9,affliction,affliction,DPS,DPS,Tailoring/Enchanting,Herbalism/Mining,0,1
131,339,Qojet,6,7,elemental,restoration,DPS,HEALER,Skinning/Leatherworking,Mining/Jewelcrafting,1,1
132,24,Calena,9,8,frost,arcane,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,1,0
133,88,Becalea,4,5,discipline,discipline,HEALER,HEALER,Tailoring/Enchanting,Herbalism/Alchemy,0,1
134,32,Hakinn,3,3,beastmastery,marksmanship,DPS,DPS,Skinning/Leatherworking,Herbalism/Mining,1,1
135,178,Curmir,2,1,arms,protection,DPS,TANK,Herbalism/Alchemy,Herbalism/Mining,1,1
136,13,Haronal,9,4,combat,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,1,0
